date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:32	110099/110099	---M--	200	added ('OK')	image/jpeg	etag:%224080022-1ae13-537751bf07cc0%22	http://acktemp.com/img/img-install.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/img-install.jpg	(from http://acktemp.com/commercial.php)
16:44:33	82906/82906	---M--	200	added ('OK')	image/jpeg	etag:%224080012-143da-537751b94ef40%22	http://acktemp.com/img/comm-hvac.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/comm-hvac.jpg	(from http://acktemp.com/commercial-hvac.php)
16:44:37	85789/85789	---M--	200	added ('OK')	image/jpeg	etag:%224080041-14f1d-537751b94ef40%22	http://acktemp.com/img/demolition-cover.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/demolition-cover.jpg	(from http://acktemp.com/mechanical-demolition.php)
16:44:39	92495/92495	---M--	200	added ('OK')	image/jpeg	etag:%224080040-1694f-537751c5b4c80%22	http://acktemp.com/img/refrigeration-cover.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/refrigeration-cover.jpg	(from http://acktemp.com/refrigeration.php)
16:44:41	59569/59569	---M--	200	added ('OK')	image/jpeg	etag:%224080042-e8b1-537751b94ef40%22	http://acktemp.com/img/dehumidification-cover.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/dehumidification-cover.jpg	(from http://acktemp.com/dehumidification.php)
16:44:44	65949/65949	---M--	200	added ('OK')	image/jpeg	etag:%22408001a-1019d-537751cc61c40%22	http://acktemp.com/img/welding-cover.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/welding-cover.jpg	(from http://acktemp.com/welding.php)
16:44:45	887/887	---M--	200	added ('OK')	image/png	etag:%224080043-377-537751be13a80%22	http://acktemp.com/img/icon-rebate.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-rebate.png	(from http://acktemp.com/promotions.php)
16:44:46	742/742	---M--	200	added ('OK')	image/png	etag:%224080023-2e6-537751bc2b600%22	http://acktemp.com/img/icon-faq.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-faq.png	(from http://acktemp.com/faq.php)
16:44:46	937/937	---M--	200	added ('OK')	image/png	etag:%224080010-3a9-537751bc2b600%22	http://acktemp.com/img/icon-community.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-community.png	(from http://acktemp.com/community.php)
16:44:51	91401/91401	---M--	200	added ('OK')	image/jpeg	etag:%224080017-16509-537751c5b4c80%22	http://acktemp.com/img/plumbing-cover.jpg	C:/My%20Web%20Sites/clone/acktemp.com/img/plumbing-cover.jpg	(from http://acktemp.com/plumbing.php)
16:44:52	804/804	---M--	200	added ('OK')	image/png	etag:%22408003d-324-537751bb373c0%22	http://acktemp.com/img/icon-comments.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-comments.png	(from http://acktemp.com/comments.php)
16:44:52	852/852	---M--	200	added ('OK')	image/png	etag:%22408001d-354-537751bd1f840%22	http://acktemp.com/img/icon-location.png	C:/My%20Web%20Sites/clone/acktemp.com/img/icon-location.png	(from http://acktemp.com/location.php)
